target,guide,donor,context,n_cells,guide_median_supplied_activation_score,ntc_baseline_median_of_guide_medians,supplied_activation_score_delta,support_flag_lt_20_cells,generator_available,generator_admitted
STAT5B,STAT5B_2_CRISPRi,B,Resting-Teff,222,-314.40765876215153,-332.74571476402099,18.338056001869461,false,true,true
TAF5L,TAF5L_1_CRISPRi,B,Resting-Teff,162,-311.72365852311651,-332.74571476402099,21.022056240904476,false,true,true
TAF5L,TAF5L_2_CRISPRi,B,Resting-Teff,249,-307.579476817086,-332.74571476402099,25.166237946934984,false,true,true
USP22,USP22_1_CRISPRi,B,Resting-Teff,234,-300.82192374631745,-332.74571476402099,31.923791017703536,false,true,true
USP22,USP22_2_CRISPRi,B,Resting-Teff,218,-271.95597329227053,-332.74571476402099,60.78974147175046,false,true,true
ZNF217,ZNF217_1_CRISPRi,B,Resting-Teff,203,-285.84883752511797,-332.74571476402099,46.896877238903016,false,false,false
ZNF217,ZNF217_2_CRISPRi,B,Resting-Teff,185,-299.184397056161,-332.74571476402099,33.561317707859985,false,false,false
ATXN7L3,ATXN7L3_1_CRISPRi,A,Stimulated-Teff,226,615.17764101249577,612.7313540812479,2.4462869312478688,false,true,true
ATXN7L3,ATXN7L3_2_CRISPRi,A,Stimulated-Teff,291,592.81920229642026,612.7313540812479,-19.912151784827643,false,true,true
BACH2,BACH2_1_CRISPRi,A,Stimulated-Teff,290,628.28860701790143,612.7313540812479,15.557252936653526,false,true,false
BACH2,BACH2_2_CRISPRi,A,Stimulated-Teff,188,636.93748905935308,612.7313540812479,24.206134978105183,false,true,false
BATF,BATF_1_CRISPRi,A,Stimulated-Teff,273,582.2823073494568,612.7313540812479,-30.4490467317911,false,true,true
BATF,BATF_2_CRISPRi,A,Stimulated-Teff,248,551.42471917297007,612.7313540812479,-61.306634908277829,false,true,true
BPTF,BPTF_1_CRISPRi,A,Stimulated-Teff,199,595.76360745734428,612.7313540812479,-16.967746623903622,false,true,true
BPTF,BPTF_2_CRISPRi,A,Stimulated-Teff,282,569.3836103859345,612.7313540812479,-43.347743695313397,false,true,true
CBFB,CBFB_1_CRISPRi,A,Stimulated-Teff,359,660.48302552185726,612.7313540812479,47.751671440609357,false,true,true
CBFB,CBFB_2_CRISPRi,A,Stimulated-Teff,320,667.69884069144177,612.7313540812479,54.967486610193873,false,true,true
DNMT1,DNMT1_1_CRISPRi,A,Stimulated-Teff,215,615.32602648563079,612.7313540812479,2.5946724043828908,false,false,false
DNMT1,DNMT1_2_CRISPRi,A,Stimulated-Teff,188,574.51477769496159,612.7313540812479,-38.216576386286306,false,false,false
ETS1,ETS1_1_CRISPRi,A,Stimulated-Teff,197,650.00000674117928,612.7313540812479,37.268652659931377,false,true,false
ETS1,ETS1_2_CRISPRi,A,Stimulated-Teff,122,615.13407185347023,612.7313540812479,2.4027177722223314,false,true,false
FOXO1,FOXO1_1_CRISPRi,A,Stimulated-Teff,166,638.09883526350609,612.7313540812479,25.367481182258189,false,true,true
FOXO1,FOXO1_2_CRISPRi,A,Stimulated-Teff,202,598.95840459849978,612.7313540812479,-13.772949482748118,false,true,true
IL2RA,IL2RA_1_CRISPRi,A,Stimulated-Teff,181,524.21300837465867,612.7313540812479,-88.51834570658923,false,true,true
IL2RA,IL2RA_2_CRISPRi,A,Stimulated-Teff,236,589.11904686684102,612.7313540812479,-23.612307214406883,false,true,true
IRF1,IRF1_1_CRISPRi,A,Stimulated-Teff,225,630.47950294492694,612.7313540812479,17.748148863679035,false,true,true
IRF1,IRF1_2_CRISPRi,A,Stimulated-Teff,181,621.41444611255451,612.7313540812479,8.6830920313066144,false,true,true
IRF2,IRF2_1_CRISPRi,A,Stimulated-Teff,243,619.5777562936255,612.7313540812479,6.8464022123775976,false,true,true
IRF2,IRF2_2_CRISPRi,A,Stimulated-Teff,242,598.82770219731856,612.7313540812479,-13.903651883929342,false,true,true
IRF4,IRF4_1_CRISPRi,A,Stimulated-Teff,180,575.09973429072238,612.7313540812479,-37.631619790525519,false,true,false
IRF4,IRF4_2_CRISPRi,A,Stimulated-Teff,155,557.24533519469571,612.7313540812479,-55.486018886552188,false,true,false
KLF13,KLF13_1_CRISPRi,A,Stimulated-Teff,272,625.25487915352164,612.7313540812479,12.523525072273742,false,true,false
KLF13,KLF13_2_CRISPRi,A,Stimulated-Teff,328,623.90734805919192,612.7313540812479,11.175993977944017,false,true,false
KLF2,KLF2_1_CRISPRi,A,Stimulated-Teff,202,612.89598998020119,612.7313540812479,0.16463589895329278,false,true,true
KLF2,KLF2_2_CRISPRi,A,Stimulated-Teff,208,648.48582432170883,612.7313540812479,35.754470240460932,false,true,true
LEF1,LEF1_1_CRISPRi,A,Stimulated-Teff,304,605.2572283111856,612.7313540812479,-7.4741257700623009,false,true,false
LEF1,LEF1_2_CRISPRi,A,Stimulated-Teff,251,617.10840097758501,612.7313540812479,4.3770468963371059,false,true,false
MED11,MED11_1_CRISPRi,A,Stimulated-Teff,104,534.59799341815926,612.7313540812479,-78.133360663088638,false,false,false
MED11,MED11_2_CRISPRi,A,Stimulated-Teff,216,622.23873885138187,612.7313540812479,9.5073847701339673,false,false,false
MED12,MED12_1_CRISPRi,A,Stimulated-Teff,405,533.83630337310944,612.7313540812479,-78.895050708138456,false,true,true
MED12,MED12_2_CRISPRi,A,Stimulated-Teff,366,562.7808465664101,612.7313540812479,-49.950507514837795,false,true,true
MED24,MED24_1_CRISPRi,A,Stimulated-Teff,303,635.57561568611709,612.7313540812479,22.844261604869189,false,true,true
MED24,MED24_2_CRISPRi,A,Stimulated-Teff,371,640.83177955596534,612.7313540812479,28.10042547471744,false,true,true
MEF2D,MEF2D_1_CRISPRi,A,Stimulated-Teff,266,638.30562796323068,612.7313540812479,25.574273881982776,false,true,true
MEF2D,MEF2D_2_CRISPRi,A,Stimulated-Teff,302,672.34493619675095,612.7313540812479,59.61358211550305,false,true,true
MYB,MYB_1_CRISPRi,A,Stimulated-Teff,213,626.25934741822073,612.7313540812479,13.527993336972827,false,true,true
MYB,MYB_2_CRISPRi,A,Stimulated-Teff,254,618.08614950728429,612.7313540812479,5.3547954260363895,false,true,true
MYC,MYC_1_CRISPRi,A,Stimulated-Teff,266,547.598529043491,612.7313540812479,-65.132825037756902,false,true,true
MYC,MYC_2_CRISPRi,A,Stimulated-Teff,195,556.65387593620721,612.7313540812479,-56.077478145040686,false,true,true
NFKB2,NFKB2_1_CRISPRi,A,Stimulated-Teff,365,600.93947881304371,612.7313540812479,-11.791875268204194,false,true,true
NFKB2,NFKB2_2_CRISPRi,A,Stimulated-Teff,334,590.33001972106933,612.7313540812479,-22.401334360178566,false,true,true
PRDM1,PRDM1_1_CRISPRi,A,Stimulated-Teff,259,621.89021080009695,612.7313540812479,9.1588567188490515,false,false,false
PRDM1,PRDM1_2_CRISPRi,A,Stimulated-Teff,329,636.66661353232848,612.7313540812479,23.935259451080583,false,false,false
SOCS3,SOCS3_1_CRISPRi,A,Stimulated-Teff,64,494.57311509922312,612.7313540812479,-118.15823898202478,false,true,true
SOCS3,SOCS3_2_CRISPRi,A,Stimulated-Teff,122,661.65016877126925,612.7313540812479,48.91881469002135,false,true,true
STAT5B,STAT5B_1_CRISPRi,A,Stimulated-Teff,228,532.02199419188446,612.7313540812479,-80.709359889363441,false,true,true
