double,geneA,geneB,residual,residual_bias_corrected,CI_low,CI_high,pctile_CI_low,pctile_CI_high,se_boot,noise_floor,noise_floor_sd,floor_ratio,z,p,bar_a_significant,bar_b_floor_ratio_ge_1p9,effect_norm,nonadditivity
FOSB+PTPN12,FOSB,PTPN12,0.4903312899351901,0.44656340563936336,0.430527961904852,0.46271652995390566,0.5179460499164745,0.5501346179655282,0.008072517849344877,0.2753556986239324,0.012216623829835401,1.7807196015393205,17.59697231458048,0.000999000999000999,True,False,2.901545760557581,0.8932209921722428
FEV+ISL2,FEV,ISL2,0.2761391157305901,0.24091009727085871,0.22850038859546878,0.2520483297588486,0.30022990170233155,0.3237778428657114,0.00620893786237345,0.15382108718019896,0.00699939340505446,1.7951967496309365,17.475518444507177,0.000999000999000999,True,False,7.15207610637816,0.4055519051487218
FEV+MAP7D1,FEV,MAP7D1,0.27128469823163787,0.23500810468841438,0.22412848251206097,0.2450967541625898,0.29747264230068593,0.31844091395121477,0.005442722200424319,0.15479913035005893,0.006695275627343328,1.7524949760257784,17.3981736324424,0.000999000999000999,True,False,6.168096086893793,0.3756995356663818
MAP2K6+IKZF3,MAP2K6,IKZF3,0.25321885847122355,0.22196850310212035,0.21130478587228718,0.2319814331223865,0.2744562838200606,0.2951329310701599,0.00525059477676458,0.1373640970345661,0.006713050066515718,1.8434137007976978,17.25814053056656,0.000999000999000999,True,False,6.728009106699049,0.3365836841557275
CEBPE+SPI1,CEBPE,SPI1,0.22891162955725056,0.1970662491527878,0.1873813114333046,0.20581514369697312,0.252008115417528,0.2704419476811965,0.004781785202615121,0.13068719239885357,0.005717893246009709,1.7515995665330297,17.17843144884594,0.000999000999000999,True,False,11.602611295339237,0.3186582104335735
SAMD1+PTPN12,SAMD1,PTPN12,0.25421018628926956,0.21897728592210763,0.20833056503877978,0.22913244413599154,0.2792879284425476,0.30008980753975933,0.005646704462287362,0.14707989691232376,0.00638418594357808,1.7283815914067955,16.78057160673857,0.000999000999000999,True,False,6.069433323275382,0.3734067182422458
MAP2K6+SPI1,MAP2K6,SPI1,0.45143936639520676,0.4030210143168643,0.38574462554899547,0.41992233727274214,0.4829563955176714,0.5171341072414181,0.008610821662250918,0.266659868470679,0.011268274600194056,1.6929407825191567,16.39820686667909,0.000999000999000999,True,False,3.371445869047581,0.8967992988873983
PTPN12+UBASH3A,PTPN12,UBASH3A,0.2345722435956567,0.19975707371122475,0.18832419424765134,0.21031163942399972,0.2588328477673137,0.28082029294366206,0.005604656118123273,0.13940922596631003,0.005896608733039588,1.6826163546187682,16.13860134489405,0.000999000999000999,True,False,6.27849709618785,0.5271509655027217
MAP2K6+ELMSAN1,MAP2K6,ELMSAN1,0.4169160383664719,0.36903112227137896,0.35160631460896047,0.38340437925963117,0.4504276974733126,0.4822257621239833,0.00800956248302244,0.24537295827224662,0.01092225032824838,1.6991115944565274,15.705836703866861,0.000999000999000999,True,False,2.7235583147712497,0.5285147917575659
PTPN12+OSR2,PTPN12,OSR2,0.5852641888332575,0.5389328588742192,0.522531484550345,0.555339847522379,0.615188530144136,0.6479968931161699,0.008574890666471784,0.3528378725979543,0.014875348368557603,1.6587340370350334,15.624932638659308,0.000999000999000999,True,False,2.496819937964793,1.0417402750219658
