screen,double,cos_ab,triage_score,triage_rank,unreachable_fraction,double_effect_norm,emergence_z,p_value,floor_ratio,ci_low,ci_high,geometry_status,bar_a_p_lt_0p05,bar_b_floor_ge_1p9,certified_emergent
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+IKZF1,0.2282,-0.2282,60,0.6066,7.3522,19.669,0.004975124378109453,1.486,0.647,0.6797,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+MYB,0.2283,-0.2283,61,0.5543,12.3461,29.729,0.004975124378109453,1.88,0.5794,0.6012,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+KDM1A,0.2318,-0.2318,62,0.5642,8.3254,50.233,0.004975124378109453,2.354,0.5814,0.5943,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+GSE1,0.235,-0.235,63,0.5951,6.7987,19.542,0.004975124378109453,1.748,0.6064,0.6644,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+SMARCD1,0.2372,-0.2372,64,0.6077,7.4049,43.561,0.004975124378109453,2.26,0.6268,0.6369,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+VPRBP,0.2423,-0.2423,65,0.4963,9.346,27.193,0.004975124378109453,1.832,0.5225,0.5536,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+KDM1A,0.2486,-0.2486,66,0.5049,9.2766,25.77,0.004975124378109453,1.804,0.5323,0.5604,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+SMARCD1,0.2541,-0.2541,67,0.6146,6.1769,29.949,0.004975124378109453,1.945,0.6231,0.6686,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,HDAC3+MED24,0.2545,-0.2545,68,0.4815,9.0964,33.422,0.004975124378109453,1.934,0.5086,0.5277,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+KDM1A,0.2594,-0.2594,69,0.4497,9.642,40.754,0.004975124378109453,2.279,0.4708,0.4827,outside_model_cone,True,True,True
